Country,ISO,year,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($)
Costa Rica,CRI,2019,1,5047.561,80.3,6.997618675,2.648522266,62.05755177,1.56,20296.8215
Vanuatu,VUT,2019,8,299.882,70.5,6.955620317,1.61609366,60.36387581,1.56,3153.015168
Colombia,COL,2019,1,50339.443,77.3,6.350297928,1.904750865,60.1651675,1.56,14624.9713
Switzerland,CHE,2019,3,8591.361,83.8,7.69422102,4.142516115,60.10465034,1.56,68390.71299
Ecuador,ECU,2019,1,17373.657,77,5.809131145,1.507072768,58.83121306,1.56,11375.33118
Panama,PAN,2019,1,4246.44,78.5,6.085955143,2.095497138,57.93216985,1.56,31458.69263
Jamaica,JAM,2019,1,2948.277,74.5,6.309238911,1.840191003,57.90362846,1.56,9761.498522
Guatemala,GTM,2019,1,17581.476,74.3,6.262175083,1.772629006,57.87555297,1.56,8637.464165
Honduras,HND,2019,1,9746.115,75.3,5.930051327,1.580107488,57.73411068,1.56,5727.973572
Uruguay,URY,2019,1,3461.731,77.9,6.600337029,2.621885465,57.53003585,1.56,21561.06205
New Zealand,NZL,2019,2,4783.062,82.3,7.205174446,3.873951708,57.43448131,1.56,43148.44605
Philippines,PHL,2019,8,108116.622,71.2,6.267745018,1.502025499,57.10321898,1.56,8908.175977
El Salvador,SLV,2019,1,6453.55,73.3,6.454820633,2.06497864,56.32657529,1.56,8775.98652
United Kingdom,GBR,2019,3,67530.161,81.3,7.157151222,3.948529357,55.96785254,1.56,46702.97842
Peru,PER,2019,1,32510.462,76.7,5.999381542,2.087987089,55.89352023,1.56,12847.88521
Nicaragua,NIC,2019,1,6545.503,74.5,6.112545013,2.03830319,55.19364394,1.56,5407.1207
Tajikistan,TJK,2019,7,9321.023,71.1,5.464015484,0.964901584,55.15297812,1.56,3379.748697
Netherlands,NLD,2019,3,17097.123,82.3,7.42526865,4.593482329,54.94941705,1.56,56809.96717
Dominican Republic,DOM,2019,1,10738.957,74.1,6.004237175,1.927028471,54.84726134,1.56,18412.89827
Armenia,ARM,2019,7,2957.728,75.1,5.4880867,1.521645531,54.73393391,1.56,13653.74953
Brazil,BRA,2019,1,211049.519,75.9,6.451148987,2.679416288,54.56892235,1.56,14651.61618
Bangladesh,BGD,2019,6,163046.173,72.6,5.114216805,0.875011257,54.46704074,1.56,4753.726947
Mexico,MEX,2019,1,127575.529,75,6.431945324,2.578322892,54.33059101,1.56,19765.91608
Uzbekistan,UZB,2019,7,32981.715,71.7,6.154049397,1.882619055,54.14126925,1.56,6998.767576
Kyrgyzstan,KGZ,2019,7,6415.851,71.5,5.685220718,1.439890394,53.70421002,1.56,5253.667034
Serbia,SRB,2019,7,8772.228,76,6.241407394,2.691386041,53.21580638,1.56,18350.58731
Nepal,NPL,2019,6,28608.715,70.8,5.448724747,1.202942693,53.05560432,1.56,3416.791282
Thailand,THA,2019,8,69625.581,77.2,6.02215147,2.657845518,52.90452836,1.56,18459.99486
Germany,DEU,2019,3,83517.046,81.3,7.035472393,4.437431497,52.73131728,1.56,53810.56545
Spain,ESP,2019,3,46736.782,83.6,6.457449436,4.142668854,52.3355153,1.56,40936.21952
France,FRA,2019,3,65129.731,82.7,6.689644337,4.409367891,51.81547019,1.56,46112.95795
Mauritius,MUS,2019,5,1269.67,75,6.241165161,2.851947239,51.52077767,1.56,22870.28625
Finland,FIN,2019,3,5532.159,81.9,7.780347824,5.758156194,51.2716938,1.56,48802.8881
Senegal,SEN,2019,5,16296.362,67.9,5.488736629,1.15246151,51.19518904,1.56,3394.868808
Ireland,IRL,2019,3,4882.498,82.3,7.254841328,5.196829053,51.14850813,1.56,86826.3351
Albania,ALB,2019,7,2880.913,78.6,4.995317936,1.953726297,51.03309375,1.56,13724.05879
Moldova,MDA,2019,7,4043.258,71.9,5.803450584,2.041505872,50.96889516,1.56,13022.0046
Norway,NOR,2019,3,5378.859,82.4,7.442139626,5.509702465,50.87519275,1.56,64962.26227
Morocco,MAR,2019,4,36471.766,76.7,5.056751728,1.822641984,50.87309546,1.56,7514.720881
Italy,ITA,2019,3,60550.092,83.5,6.445416927,4.453128053,50.69761829,1.56,42416.41671
Sweden,SWE,2019,3,10036.391,82.8,7.398092747,5.605593113,50.50051612,1.56,52642.3152
"Palestine, State of",PSE,2019,4,4981.422,74,4.48253727,0.935436498,50.25928365,1.56,6219.960291
Argentina,ARG,2019,1,44780.675,76.7,6.085560799,3.191470119,49.98872592,1.56,22063.90437
Indonesia,IDN,2019,8,270625.567,71.7,5.346512794,1.735159206,49.59797812,1.56,11812.19764
Cyprus,CYP,2019,3,1198.574,81,6.136832714,3.974458505,49.4183661,1.56,39544.68185
Venezuela,VEN,2019,1,28515.829,72.1,5.080803394,1.593181787,48.94059614,1.56,..
Greece,GRC,2019,3,10473.452,82.2,5.952157497,4.035081313,48.81002762,1.56,30463.04105
Vietnam,VNM,2019,8,96462.108,75.4,5.467451096,2.56373618,48.44459745,1.56,8041.178551
Israel,ISR,2019,4,8519.373,83,7.331779957,6.11135185,48.24342147,1.56,40200.28742
Azerbaijan,AZE,2019,7,10047.719,73,5.173389435,1.968940748,48.03454046,1.56,14402.46386
Cambodia,KHM,2019,8,16486.542,69.8,4.998284817,1.364666284,47.96745103,1.56,4388.800909
Iceland,ISL,2019,3,339.037,83,7.532504559,6.455306668,47.95688519,1.56,55699.71639
Slovenia,SVN,2019,7,2078.654,81.3,6.665273666,5.045764978,47.88454788,1.56,39029.72579
Bosnia and Herzegovina,BIH,2019,7,3300.998,77.4,6.01552248,3.648305094,47.78103944,1.56,14922.14851
Paraguay,PRY,2019,1,7044.639,74.3,5.652625561,2.795780376,47.60305593,1.56,12685.1134
Congo (Brazzaville),COG,2019,5,5380.504,64.6,5.212622643,1.048699638,47.15744747,1.56,3673.117827
Japan,JPN,2019,8,126860.299,84.6,5.908039093,4.710935754,47.06372618,1.56,41667.1791
Czech Republic,CZE,2019,7,10689.213,79.4,6.965628386,5.400431879,46.8144963,1.56,40828.05984
Austria,AUT,2019,3,8955.108,81.5,7.195361137,6.05452653,46.81302886,1.56,56011.61122
Sri Lanka,LKA,2019,6,21323.734,77,4.213299274,1.501491981,46.79711602,1.56,13078.09812
Slovakia,SVK,2019,7,5457.012,77.5,6.243428707,4.217127795,46.57431406,1.56,31965.32847
Algeria,DZA,2019,4,43053.054,76.9,4.744627476,2.22316038,46.48894951,1.56,11510.55709
Portugal,PRT,2019,3,10226.178,82,6.095473289,4.776021175,46.26293284,1.56,34904.68577
Romania,ROU,2019,7,19364.558,76,6.129942417,3.925004477,46.21227471,1.56,29968.57521
Croatia,HRV,2019,7,4130.299,78.5,5.625743866,3.641389841,46.20843547,1.56,28845.29047
Liberia,LBR,2019,5,4937.374,64.1,5.121460915,1.065146506,46.0225342,1.56,1427.81909
Chile,CHL,2019,1,18952.035,80.2,5.942250252,4.443800777,45.64123987,1.56,25131.46476
Singapore,SGP,2019,8,5804.343,83.6,6.378359795,5.598810316,45.54925389,1.56,97341.46865
Hungary,HUN,2019,7,9684.68,76.9,6.000259876,4.067559062,45.44647998,1.56,32639.5083
Denmark,DNK,2019,3,5771.877,80.9,7.693003178,7.047285091,45.32635001,1.56,57862.27828
Iraq,IRQ,2019,4,39309.789,70.6,4.835783005,1.736921221,45.27885667,1.56,10881.17209
Kenya,KEN,2019,5,52573.967,66.7,4.618850231,0.987102409,45.18295778,1.56,4329.87139
Pakistan,PAK,2019,6,216565.317,67.3,4.442717552,0.873785382,45.10544179,1.56,4690.484755
Poland,POL,2019,7,37887.771,78.7,6.24209404,4.770052414,45.0226049,1.56,33226.26592
Bolivia,BOL,2019,1,11513.102,71.5,5.67427063,2.940349746,44.99913781,1.56,8724.475702
Uganda,UGA,2019,5,44269.587,63.4,4.948051453,0.98585989,44.76973343,1.56,2187.464881
Yemen,YEM,2019,4,29161.922,66.1,4.196912766,0.515748973,44.62843323,1.56,..
Georgia,GEO,2019,7,3996.762,73.8,4.89183569,2.428397442,44.2727762,1.56,14993.12044
Mozambique,MOZ,2019,5,30366.043,60.9,4.932132721,0.720906458,44.18803798,1.56,1281.391836
Madagascar,MDG,2019,5,26969.306,67,4.339087486,0.86518582,44.1806548,1.56,1647.02116
Tunisia,TUN,2019,4,11694.721,76.7,4.315479755,2.118263819,43.92253442,1.56,10755.60815
North Macedonia,MKD,2019,7,2083.458,75.8,5.015485287,2.953336353,43.85874421,1.56,16660.45011
Jordan,JOR,2019,4,10101.697,74.5,4.452548027,2.030631176,43.85457626,1.56,10071.38287
Iran,IRN,2019,4,82913.893,76.7,5.006145954,3.115897585,43.632488,1.56,12389.22159
Malta,MLT,2019,3,440.377,82.5,6.73297739,6.501664888,43.5028292,1.56,43585.36486
Egypt,EGY,2019,4,100388.076,72,4.327831745,1.670407029,43.17843848,1.56,11763.25364
Taiwan,TWN,2019,8,23773.881,80.4627,6.537089825,5.969634938,43.15363214,1.56,#N/A
Australia,AUS,2019,2,25203.2,83.4,7.233994961,7.525196181,43.11437338,1.56,49609.04403
Belarus,BLR,2019,7,9452.409,74.8,5.821453094,4.110974951,42.88780952,1.56,19249.28548
Laos,LAO,2019,8,7169.456,67.9,5.196856022,2.275418923,42.78420143,1.56,7826.388595
Libya,LBY,2019,4,6777.453,72.9,5.33022213,3.208879734,42.68543403,1.56,15174.16475
Belgium,BEL,2019,3,11539.326,81.6,6.772138119,6.694853717,42.53497245,1.56,51830.74647
Comoros,COM,2019,5,850.891,64.3,4.608616352,1.121470201,42.43860389,1.56,3059.509705
China,CHN,2019,8,1433783.692,76.9,5.144120216,3.737106216,41.88879499,1.56,16092.30077
Malaysia,MYS,2019,8,31949.789,76.2,5.427954197,4.06984805,41.74073777,1.56,28364.48697
Ethiopia,ETH,2019,5,112078.727,66.6,4.099555016,0.941089192,41.72822439,1.56,2221.404605
Saudi Arabia,SAU,2019,4,34268.529,75.1,6.561247349,5.516561892,41.61211706,1.56,46962.14906
Burkina Faso,BFA,2019,5,20321.383,61.6,4.740892887,1.056987637,41.53829397,1.56,2178.323415
Benin,BEN,2019,5,11801.151,61.8,4.976360798,1.388341424,41.37151967,1.56,3287.309538
Niger,NER,2019,5,23310.719,62.4,5.003544331,1.51281053,41.35091295,1.56,1224.510472
Montenegro,MNE,2019,7,627.988,76.9,5.386024952,4.222767782,41.33038029,1.56,21602.69568
Turkey,TUR,2019,4,83429.607,77.7,4.87207365,3.610031436,41.28234798,1.56,28289.0888
Ukraine,UKR,2019,7,43993.643,72.1,4.701762199,2.643290808,40.90280442,1.56,12810.28945
Congo (Kinshasa),COD,2019,5,86790.568,60.7,4.416484356,0.73384215,40.52924206,1.56,1097.948853
Canada,CAN,2019,2,37411.038,82.4,7.1090765,8.145413732,40.18359249,1.56,48881.39675
Bulgaria,BGR,2019,7,7000.117,75,5.108438015,3.832988495,40.13077545,1.56,23265.62327
